Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_1x4x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,4,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,3.16035,1206.35,652454
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_1x4x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,4,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,3.19283,1194.08,645819
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_4x4x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,4,4,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,3.49973,1089.37,589185
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_4x4x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,4,4,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,3.50065,1089.08,589030
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_0x0x1_0_tnn_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,1.92941,1975.99,1.06871e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_0x0x1_0_tnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,1.92911,1976.3,1.06888e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_1x1x1_0_tnn_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,1.77957,2142.37,1.1587e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_1x1x1_0_tnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,1.77937,2142.62,1.15883e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_1x2x1_0_tnn_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,2,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,2.31595,1646.19,890340
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_1x2x1_0_tnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,2,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,2.28253,1670.3,903378
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_1x4x1_0_tnn_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,4,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,3.11692,1223.16,661547
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_128x256x64_1x4x1_0_tnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x1308x5120][3072x1133x5120][3072x1067x5120][3072x617x5120][3072x389x5120][3072x212x5120][3072x1365x5120][3072x382x5120][3072x441x5120][3072x179x5120][3072x991x5120][3072x170x5120][3072x451x5120][3072x170x5120][3072x170x5120][3072x289x5120][3072x227x5120][3072x324x5120][3072x170x5120][3072x684x5120][3072x170x5120][3072x170x5120][3072x777x5120][3072x170x5120][3072x378x5120][3072x710x5120][3072x1164x5120][3072x170x5120][3072x170x5120][3072x1138x5120][3072x171x5120][3072x1280x5120][3072x170x5120][3072x872x5120][3072x1366x5120][3072x170x5120][3072x172x5120][3072x1210x5120][3072x2336x5120][3072x170x5120][3072x449x5120][3072x2728x5120][3072x196x5120][3072x1242x5120][3072x170x5120][3072x844x5120][3072x318x5120][3072x171x5120][3072x1277x5120][3072x1006x5120][3072x350x5120][3072x1037x5120][3072x170x5120][3072x806x5120][3072x1305x5120][3072x523x5120][3072x1336x5120][3072x579x5120][3072x1297x5120][3072x559x5120][3072x2163x5120][3072x607x5120][3072x1442x5120][3072x1257x5120][3072x1456x5120][3072x1101x5120][3072x170x5120][3072x170x5120][3072x172x5120][3072x170x5120][3072x193x5120][3072x170x5120][3072x170x5120][3072x552x5120][3072x784x5120][3072x1683x5120][3072x1408x5120][3072x550x5120][3072x457x5120][3072x170x5120][3072x337x5120][3072x606x5120][3072x1409x5120][3072x437x5120][3072x309x5120][3072x1387x5120][3072x622x5120][3072x740x5120][3072x720x5120][3072x969x5120][3072x170x5120][3072x812x5120][3072x980x5120][3072x817x5120][3072x170x5120][3072x170x5120]',,tensorop,f32,128,256,64,1,4,1,1,1,1,3,4,1,1,128,256,16,100,110,4093640704,2061986955264,503,3.12945,1218.27,658897
